"Participant","Session","Scenario","ldg","app","alt","spd","time","oddball","oddball_RT","oddball_RT_log","oddball_percentage","oddball_percentage_log","TLX","TLX_raw","TLX_weighted","simu_global_perf","workload_global"
"P001",3,"VFR-high",-0.278609487002704,0.217890962961255,0.371947406740571,-0.00207390687714541,-0.666589912604421,0.0498713885379832,0.711818188071609,-0.339932754010512,15.9090909090909,2.76689070112514,-0.0485506880195304,63.3333333333333,64.66661,-0.123267612268042,0.000660350259226405
"P002",3,"VFR-high",0.460643941712868,-0.283828122777347,1.52879721515367,0.543016445925879,-0.0145106010113516,-1.50362461319058,0.622506124955986,-0.474001811404955,0,0,-0.555166563005904,56.6666666666667,57.666605,0.450278817278774,-1.02939558809824
"P003",3,"VFR-high",0.208557098520922,0.028359391067612,-0.239384962343782,0.111974810953408,0.109977566406069,-1.81401875173831,0.545531469292498,-0.605994786477447,1.0416666666667,0.040821994520287,0.141430265100362,65.8333333333333,70.9999785,0.0850618603208648,-0.836294243318976
"P004",3,"VFR-high",-0.480701641225449,0.561022970258278,0.7114423565257,0.357134268124783,-0.242589204218026,-0.147712642467788,0.667691436104512,-0.403929134163557,14.5833333333333,2.67987932413551,-1.12510942236558,49.1666666666667,55.333313,0.0157709021134306,-0.636411032416684
"P005",3,"VFR-high",-0.921569884772831,-0.823621921982953,0.973242342482801,-0.395132798579494,0.896686398131583,1.82286116643574,1.18888052981421,0.17301213310953,49.0909090909091,3.89367386675995,0.964681061953232,76.6666666666667,85.6667305,-0.270951850901342,1.39377111419449
"P006",3,"VFR-high",-1.1299664891937,-0.863233463168027,-0.912110205367847,-0.269563631061104,0.260494115074284,0.0414268065128963,0.62871223313618,-0.464081625954874,31.4465408805032,3.44828898919601,1.02800804632653,77.5,82.9999775,-0.719648573355885,0.534717426419711
"P007",3,"VFR-high",0.965753994135321,1.97492979092238,0.841745295968608,0.185744291098676,0.954846111164457,-0.276895792393389,0.636227891146184,-0.452198460410845,14.2857142857143,2.65926003693278,-0.238531641139422,60.8333333333333,69.333317,0.979891421027247,-0.257713716766406
"P008",3,"VFR-high",0.706789298693521,0.934371367696125,-0.84054528259391,1.19667021738105,-0.688806717384213,0.393685760475113,0.765171384596998,-0.267655438094118,23.0769230769231,3.13883311719467,0.014776296353772,64.1666666666667,74.666642,0.372969157242266,0.204231028414443
"P009",3,"VFR-high",-0.5942927375001,-3.01535517204143,-0.924871545750381,-0.433754793413544,-0.28721184954321,1.08017565521836,0.908348065076601,-0.0961276422514644,41.5929203539823,3.72792996898581,0.838027093206635,75,79.3332825,-0.936896099112325,0.959101374212496
"P010",3,"VFR-high",1.06558672207752,2.08759858159906,0.519336022545835,0.72736574180902,0.564489610132309,1.11598439255666,1.04711865813874,0.0460422570224898,20.2247191011236,3.00690557415212,-2.32832212545823,33.3333333333333,36.666635,1.01105318224394,-0.606168866450787
"P011",3,"VFR-high",-0.078938529837968,0.402633633857585,-0.402252711048747,-1.14034999528337,2.03026795830899,0.47133875254215,0.758350790207741,-0.276609216475989,28.9473684210526,3.36547929906008,2.10456678067258,91.6666666666667,92.6667345,0.101969420939981,1.28795276660737
"P012",3,"VFR-high",-0.427903008074249,-0.11734949955346,-0.323938197348314,-0.623025816608949,1.33438560610581,-0.119705148145087,0.598721475478843,-0.512958771510681,28.75,3.35863776724336,0.204757249473664,66.6666666666667,80.666646,-0.130650389340437,0.0425260506642885
"P013",3,"VFR-high",-1.23738121985996,-0.719213748216219,-1.87973671119981,-0.365797830847306,-1.59832844793147,NA,NA,NA,NA,NA,0.331411218220254,68.3333333333333,76.333309,-1.1794139986732,NA
"P014",3,"VFR-high",1.78995201747121,0.86841286623345,0.133644005375518,0.0185203492448217,0.0418584540897429,-0.0593289732421493,0.636668448262139,-0.451506248295991,23.3082706766917,3.14880826225148,0.964681061953232,76.6666666666667,80.99992,0.875346158230015,0.452676044355541
"P015",3,"VFR-high",0.130538944537072,1.5403923187937,-0.3940521651049,-0.508173626653706,-1.46707395047087,0.416253659507816,0.698869841073218,-0.358290761421517,40.5063291139241,3.7014582363208,-0.618493547379206,55.8333333333333,69.9999805,-0.0721205357005369,-0.101119943935695
"P016",3,"VFR-high",-1.10825034133045,-0.820146972907465,-0.0212904549513133,0.790615371739925,0.0971796748442487,1.03378616612632,0.915972234595277,-0.0877692263446204,35.7142857142857,3.57555076880693,-0.301858625512717,60,78.6666425,-0.436346493723369,0.365963770306803
"P017",3,"VFR-high",0.494009437086291,0.530819111357643,-0.209556970638028,0.289232560617951,0.0579151723132755,-0.925532403631796,0.570049296614413,-0.562032436604734,6.0975609756098,1.80788885115794,-0.491839578632609,57.5,60.9999895,0.297865255882143,-0.708685991132203
"P019",3,"VFR-high",0.615302454802025,0.74679826796843,-0.257612328361152,0.780614517534149,-0.465599032309183,-1.02231048899916,0.653093414551001,-0.426035105494443,2.27272727272729,0.82098055206984,-0.0485506880195304,63.3333333333333,67.333312,0.366751195645647,-0.535430588509347
"P020",3,"VFR-high",0.741507139391441,-0.765858635155255,0.424708943031355,1.67442135130057,-0.394065025974894,-1.10827889222056,0.590666878738179,-0.526503077447736,3.2967032967033,1.19292296813935,0.204757249473664,66.6666666666667,76.666634,0.437483850736843,-0.451760821373447
"P021",3,"VFR-high",0.0457659488873007,0.214655702948018,0.853870238589831,-0.0657033442388306,0.358214554886535,-0.130670545530649,0.708527977576359,-0.344565732167594,10.8433734939759,2.38355415552771,-0.365185609886012,59.1666666666667,72.6666465,0.222461952382753,-0.247928077708331
"P022",3,"VFR-high",0.63950851630452,0.351680576740405,-1.04668760180934,-2.08167922291147,-0.467066473032426,-0.0101758330736733,0.669832707860779,-0.400727287534835,19.5652173913043,2.97375336683521,0.521392171340145,70.8333333333333,79.6666465,-0.230759501630115,0.255608169133236
"P023",3,"VFR-high",0.62405842794896,-0.97034316000187,0.969542179766488,0.401992277283538,0.56587181524582,0.826600207796118,0.780267706773567,-0.248118204370622,55.1724137931034,4.0104630782414,1.53462392131291,84.1666666666667,83.6666465,0.39468283802368,1.18061206455451
"P024",3,"VFR-high",-0.509122483091657,-0.573472642677313,0.113065540653933,0.065806292668319,-0.0532447969091078,-0.0740666536444829,0.703634037003704,-0.351496891786085,12.8205128205128,2.55104645229254,-2.07501418796504,36.6666666666667,40.666696,-0.270825834176288,-1.07454042080476
