"Identifiant","Genre","Age","LangueMaternelle","NiveauEtudes","Lateralite","JeuxAnnee","JeuxJour","JeuxIntensif","HeuresVol","HeuresSimu","ProportionSimu","ID","Participant","Group","Participant_RR","Points","zscore_SF","zscore_stroop","zscore_stopsignal","zscore_antisaccade","zscore_keeptrack","zscore_lettermemory","zscore_dualnback","zscore_numberletter","zscore_categoryswitch","zscore_colorshape","zscore_inhibition","zscore_WM","zscore_shifting","zscore_EF","antissaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","VGexp","Participant_Powerbrain","3_VFR-low_simu","3_VFR-high_simu","3_IFR-low_simu","3_IFR-high_simu","3_VFR-low_TLX","3_VFR-high_TLX","3_IFR-low_TLX","3_IFR-high_TLX","3_VFR-low_oddball","3_VFR-high_oddball","3_IFR-low_oddball","3_IFR-high_oddball","zscore_MATB"
"P001","H",27,"Française","Bac+5","Gaucher","1-10 fois","0 heures","Non",58,2,0,1,1,"B","P103",2290,0.65291654472275,-0.475930511700205,1.00640112843189,0.173454260057673,0.815523868060522,1.08242706918199,0.070301136255463,-0.835051943180179,-0.142625983573483,0.493718232726696,0.234641625596451,0.656084024499326,-0.161319898008989,0.243135250695596,454.377777777778,326.90625,96.9166949632145,0.883333333333333,25,0.916666666666667,160.735849056604,208.296296296296,791.227822580645,3,"P001",-0.560812999421767,-0.123267612268042,0.274762870700425,-1.5205898612369,66.6666666666667,63.3333333333333,69.1666666666667,90,20,15.9090909090909,14.7368421052632,52.8571428571429,0.54560868049079
"P002","H",21,"Française","Bac+2","Droitier","0 fois","0 heures","Non",105,0,50,2,2,"B","P107",1090,-0.290789894129746,0.102141555803058,-0.79551321617507,0.995689127781645,-1.00137999516272,0.21922573553053,0.963539102795471,0.705686038315624,0.753657572178953,-2.23258130485624,0.100772489136544,0.0604616143877592,-0.257745898120555,-0.0321705981987504,393.129411764706,-100.535038932147,483.561835106383,0.95,19,0.75,251.37037037037,113.787749287749,324.168097840229,2,"P002",-0.952394380647822,0.450278817278774,0.155975345926658,NA,35,56.6666666666667,58.3333333333333,70.8333333333333,NA,0,0,1.0416666666667,-2.23751245067867
"P003","H",19,"Française","Bac+2","Droitier","Plus de 60 fois","0-30 minutes","Oui",80,5,50,3,3,"B","P108",3020,1.22700462835802,0.0274983322744687,0.267757679455237,-0.0432784628923835,0.512706557523315,1.51402773600773,0.628574865342969,0.407000560850631,0.357390730500846,1.17358680798922,0.0839925162791074,0.885103052958003,0.645992699780233,0.538362756339114,470.522222222222,88.4462365591398,0.497399527186758,0.925,24,1,197.888888888889,125.991111111111,414.711693548387,5.5,"P003",0.0464344225893109,0.0850618603208648,-0.0397142582478333,0.167185612565834,50,65.8333333333333,59.1666666666667,80,0,1.0416666666667,4.21052631578949,14.7727272727273,1.05623926555986
"P004","H",21,"Française","Bac+5","Droitier","Plus de 60 fois","30-60 minutes","Oui",45,0,50,4,4,"A","P112",2170,0.5585459008375,-0.960081349584575,1.60641868240254,0.58217911576681,1.72397579967215,0.21922573553053,0.293610627890466,0.610757164305857,0.290643015236908,0.353311370629985,0.40950548286159,0.745604054364381,0.418237183390917,0.524448906872296,423.931818181818,120.278494623656,116.82926514271,0.9,28,0.75,130.555555555556,287.449735449735,352.944862155389,6,"P004",-0.0213005088632521,0.0157709021134306,-0.870133967821708,0.219180129222782,35,49.1666666666667,36.6666666666667,78.3333333333333,5.31914893617019,14.5833333333333,4.3010752688172,39.3258426966292,0.33080797868823
"P005","H",21,"Française","Bac+2","Droitier","1-10 fois","0-30 minutes","Non",1,1,50,5,5,"A","P123",1320,-0.109912826683018,-0.0846852023762315,-0.031931554977959,0.786599174483704,1.11834117859773,1.08242706918199,1.07519384861297,0.518175805771591,0.493685578785502,0.0263055700696169,0.223327472376504,1.09198736546423,0.346055651542237,0.553790163127658,408.704545454545,23.4466666666667,163.205388471178,0.958333333333333,26,0.916666666666667,212.962962962963,144.331908831909,381.01,3.5,"P005",-1.15304068250972,-0.270951850901342,-0.591727594923689,-1.22692731398819,68.3333333333333,76.6666666666667,72.5,84.1666666666667,25.3731343283582,49.0909090909091,44.5544554455445,80.7692307692308,0.0800031973285721
"P006","F",20,"Française","Bac+4","Droitier","1-10 fois","0-30 minutes","Non",20,20,0,6,6,"B","P125",485,-0.76657522371788,-1.22252929208613,0.88561404372732,0.0814211629756465,1.11834117859773,1.08242706918199,0.628574865342969,0.235416623069113,0.0446103032073518,1.02031028943858,-0.0851646951277219,0.943114371040898,0.433445738571681,0.430465138161619,461.233333333333,237.6125,22.2351507092199,0.925,26,0.916666666666667,166.811320754717,330.357142857143,466.725694444444,3.5,"P006",-0.0119625203580206,-0.719648573355885,0.0559098042573512,0.256800585456361,56.6666666666667,77.5,36.6666666666667,71.6666666666667,7.8947368421053,31.4465408805032,31.7073170731707,38.961038961039,-0.430952373719311
"P007","H",22,"Française","Bac+3","Gaucher","Plus de 60 fois","30-60 minutes","Oui",20,1,50,7,7,"B","P126",2185,0.570342231323157,0.335610277479324,-0.756487345352074,0.42215177129366,0.815523868060522,0.21922573553053,0.405265373707967,-1.55952509733686,0.603700759152203,0.663512349778805,0.000424901140303598,0.480004992433006,-0.0974373294686162,0.127664188034898,435.852272727273,-29.0200222469412,72.8364098448368,0.908333333333333,25,0.75,249.407407407407,75.6181318681319,1010.84480874317,6,"P007",0.393378676869105,0.979891421027247,-0.0589689992645473,-0.217953236420432,38.3333333333333,60.8333333333333,55.8333333333333,88.3333333333333,13.4328358208955,14.2857142857143,3.9473684210526,28.0487804878049,-0.00667213980813937
"P008","H",20,"Française","Bac+3","Gaucher","Plus de 60 fois","30-60 minutes","Oui",1,1,0,8,8,"A","P127",2490,0.810200951198166,0.322906545857955,0.212282313774844,0.282246799338129,-1.00137999516272,-0.212374931295202,-1.26955581355455,0.943686059864913,-0.0963807813154784,0.102152207325593,0.272478552990309,-0.827770246670825,0.316485828625009,-0.0796019550185021,446.27380952381,304.851724137931,152.448781103954,0.783333333333333,19,0.666666666666667,200.679245283019,77.6950549450549,252.020707506471,6,"P008",0.315957024524411,0.372969157242266,0.541578646906047,0.504892344254719,64.1666666666667,64.1666666666667,66.6666666666667,79.1666666666667,23.4375,23.0769230769231,32.3529411764706,64.6153846153846,-0.185363630558312
"P009","F",21,"Française","Bac+3","Droitier","11-30 fois","0-30 minutes","Non",2,1,50,9,9,"A","P135",760,-0.550309164814183,0.705678668919384,0.355381804510643,-1.42675816376078,-1.90983192677435,0.21922573553053,0.181955882072965,-0.334273690134761,-0.461328017271545,-0.499227319447494,-0.12189923011025,-0.502883436390284,-0.431609675617934,-0.352130780706156,573.577777777778,478.896551724138,237.736721113128,0.891666666666667,16,0.75,193.481481481481,15.1159420289855,639.421768707483,4.5,"P009",-1.05658976368735,-0.936896099112325,-0.76830555685341,-1.94442431698485,66.6666666666667,75,66.6666666666667,72.5,30.7692307692308,41.5929203539823,47.5,55.5555555555556,0.433487538301578
"P010","H",20,"Française","Bac+3","Droitier","31-60 fois","0-30 minutes","Oui",120,4000,0,10,10,"A","P139",1420,-0.0312706234453097,0.675885691222497,-0.724380265440381,0.872638661883948,0.815523868060522,1.51402773600773,0.293610627890466,1.14716368728842,0.332580732803388,1.02406678441288,0.274714695888688,0.874387410652905,0.834603734834898,0.66123528045883,402.295454545455,100.278225806452,21.7024027459954,0.9,25,1,247.792452830189,19.9867724867726,190.338444982513,4.5,"P010",0.59272423545015,1.01105318224394,0.669218954416692,0.838685901842485,45.8333333333333,33.3333333333333,45,75,10.4651162790698,20.2247191011236,26.5060240963855,58.5365853658537,-0.0865768424075068
